Sexo:,Edad ,Provincia de  Origen,Ciudad de origen,El lugar donde vivia era: ,Su colegio era ,¿Sus estudios de tercer nivel fueron?,¿Cua¡l es su ultimo nivel de estudio culminado? (con o sin beca Senescyt),¿Qua© estudios cubrio su beca Senescyt?  (por favor seleccione todos los niveles financiados),Pias en donde realizo sus estudios cubiertos por la beca Senescyt del mayor grado financiado:,¿Cua¡l es su a¡rea de especializacion?,Año de convocatoria (mayor grado),Programa de beca financiado (mayor grado),¿Cua¡l es el ultimo nivel de estudios culminado de su padre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre? [Feedback],¿Cua¡l es su situacion actual?,Provincia actual de Residencia,Ciudad  actual de residencia,El lugar donde reside actualmente es:,Año de retorno,¿Cua¡ntos meses le tomo encontrar su primer empleo en Ecuador desde que retorno al Ecuador?,"En una escala del 1 al 5, ¿qua© tanto utilizaba sus habilidades adquiridas en sus estudios en este primer empleo en Ecuador?",¿Cua¡ntos  de experiencia previa relevante tenia antes de encontrar este empleo?,¿Como se siente en su trabajo?,"Comparado a cuando comenzo su actual empleo, sus habilidades han: ",¿Esta¡ en sus planes trabajar en el exterior una vez terminada la compensacion?,"Si tuviera una oportunidad laboral similar en el exterior y una en Ecuador, ¿qua© preferiria? y ¿por qua©?",¿Tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt? ,"Si tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt, Explique, por favor cua¡l. ",¿Ha sido notificado con la terminacion unilateral del contrato?  ,"Si Senescyt decidiese terminar su contrato de manera unilateral, ¿estaria usted y su familia en condiciones de devolver los costos de su beca?",Tiene temor que Senescyt le notifique por Terminacion Unilateral de Contrato,¿Ha tenido algun problema adicional que no se haya contemplado en esta encuesta?
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior sin beca Senescyt,Doctorado - PhD,Maestria,United Kingdom,Ciencias sociales y del comportamiento,2013,Excelencia,Doctorado PhD,Doctorado PhD,,Becario retornado,Imbabura,Ibarra,Urbano,2020,+12 meses,4,De 1 a 3 ,Descontento(a) por no tener estabilidad;Descontento(a) por ambiente perjudicial,aumentado,No se aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Prorroga de compensacion,No,No,"SI, porque no regrese en el plazo establecido",
Masculino,De 35 a 39 ,Loja,Loja,Urbano,Fiscomisional,En el exterior sin beca Senescyt,Maestria,Maestria,Canada,Artes,2016,Convocatoria abierta,Pregrado - tercer nivel,Doctorado PhD,,Becario retornado,Loja,Loja,Urbano,2019,3-6 meses,4,De 1 a 3 ,Contento(a),aumentado,No se aun,Me quedaria en el Ecuador,No,,No,No,No,"Liquidacion financiera que incumple la ley y normativas vigentes, solicitando devolucion de montos sin respaldo legal."
Masculino,De 18 a 24 ,Imbabura,Otavalo,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,France,Ciencias sociales y del comportamiento,2015,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Imbabura,Ibarra,Urbano,2018,7-9 meses,2,No tenia experiencia,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor,Si,"Pedi la devolucion de algunos valores que me toco cubrir en 2018, y nunca respondieron. ",No,No,No,
Masculino,De 40 a 50 ,Guayas,Dura¡n,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,Cuba,Ciencias biologicas y afines,2012,Convocatoria abierta,Secundaria,Secundaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No se aun,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,"SI, porque no regresa© en el plazo establecido",
Masculino,De 30 a 34 ,Chimborazo,Riobamba,Urbano,Privado,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD;Maestria,Spain,Ciencias biologicas y afines,2012,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Tungurahua,Ambato,Urbano,2016,3-6 meses,5,De 1 a 3 ,Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Me quedaria en el Ecuador,Si,Liquidacion financiera,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 40 a 50 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,France,Ingenieria y profesiones afines,2013,Convocatoria abierta,Maestria,Maestria,,Becario que termina sus estudios pero sigue en el exterior,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,"Si, porque me encuentro en el exterior",
Masculino,De 30 a 34 ,Cotopaxi,Latacunga,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Peru,Veterinaria,2016,Cooperacion,Secundaria,Primaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No se aun,Me quedaria en el Ecuador,Si,registro del titulo ,No,No,No,
Femenino,De 18 a 24 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ciencias biologicas y afines,2014,Excelencia,Maestria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Aplique a un cambio de carrera hace casi ya dos . Me gradua© y no me dan respuestas a ese tra¡mite por lo que mi liquidacion esta¡ estancada ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Chimborazo,Riobamba,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Doctorado PhD,Argentina,Ingenieria y profesiones afines,2018,Convocatoria abierta,Pregrado - tercer nivel,Maestria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No se aun,Me quedaria en el Ecuador;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,
Masculino,De 35 a 39 ,Guayas,Guayaquil,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Matema¡ticas y estadistica,2014,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2017,7-9 meses,5,De 5 a 10 ,Contento(a),aumentado,No se aun,Me quedaria en el Ecuador,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
